id,customer_name,sentiment,csat_score,call_timestamp,reason,city,state,channel,response_time,call duration in minutes,call_center
DKK-57076809-w-055481-fU,Analise Gairdner,Neutral,7,10/29/2020,Billing Question,Detroit,Michigan,Call-Center,Within SLA,17,Los Angeles/CA
QGK-72219678-w-102139-KY,Crichton Kidsley,Very Positive,,10/5/2020,Service Outage,Spartanburg,South Carolina,Chatbot,Within SLA,23,Baltimore/MD
GYJ-30025932-A-023015-LD,Averill Brundrett,Negative,,10/4/2020,Billing Question,Gainesville,Florida,Call-Center,Above SLA,45,Los Angeles/CA
ZJI-96807559-i-620008-m7,Noreen Lafflina,Very Negative,1,10/17/2020,Billing Question,Portland,Oregon,Chatbot,Within SLA,12,Los Angeles/CA
DDU-69451719-O-176482-Fm,Toma Van der Beken,Very Positive,,10/17/2020,Payments,Fort Wayne,Indiana,Call-Center,Within SLA,23,Los Angeles/CA
JVI-79728660-U-224285-4a,Kaylyn Emlen,Neutral,5,10/28/2020,Billing Question,Salt Lake City,Utah,Call-Center,Within SLA,25,Baltimore/MD
AZI-95054097-e-185542-PT,Phillipe Bowring,Neutral,8,10/16/2020,Billing Question,Tyler,Texas,Chatbot,Within SLA,31,Baltimore/MD
TWX-27007918-I-608789-Xw,Krysta de Tocqueville,Positive,,10/21/2020,Billing Question,New York City,New York,Chatbot,Below SLA,37,Los Angeles/CA
XNG-44599118-P-344473-ZU,Oran Lifsey,Very Negative,,10/3/2020,Billing Question,Dallas,Texas,Email,Below SLA,37,Baltimore/MD
RLC-64108207-Z-285141-VS,Port Inggall,Neutral,,10/7/2020,Billing Question,Cincinnati,Ohio,Chatbot,Within SLA,12,Baltimore/MD
RJF-00263922-O-647027-TB,Ella Cristoforo,Negative,,10/9/2020,Billing Question,Everett,Washington,Chatbot,Within SLA,35,Los Angeles/CA
ZQN-32874873-e-786499-kJ,Aubrey Surcombe,Negative,,10/11/2020,Billing Question,Huntington,West Virginia,Web,Within SLA,18,Los Angeles/CA
JDP-35147568-w-630120-3l,Nicolle Fareweather,Very Positive,,10/2/2020,Billing Question,Portland,Oregon,Call-Center,Within SLA,30,Baltimore/MD
DPT-56483482-P-371409-CQ,Melesa Ricardot,Positive,7,10/10/2020,Billing Question,Springfield,Massachusetts,Chatbot,Within SLA,20,Denver/CO
ZOV-95861398-a-333622-9r,Odell Cathesyed,Very Negative,,10/6/2020,Payments,Hyattsville,Maryland,Call-Center,Below SLA,22,Baltimore/MD
BEJ-69711449-V-758715-cp,Dani Stanfield,Negative,4,10/18/2020,Billing Question,New York City,New York,Chatbot,Within SLA,28,Denver/CO
DEC-83767217-S-314070-eR,Margarette Jehaes,Negative,,10/11/2020,Billing Question,Huntsville,Alabama,Email,Above SLA,36,Baltimore/MD
XNY-04106353-Y-318117-I9,Noni Greatrakes,Neutral,,10/30/2020,Billing Question,Wichita,Kansas,Call-Center,Above SLA,37,Baltimore/MD
GKH-06532516-2-756137-9w,Gerik Archell,Negative,,10/26/2020,Billing Question,Lansing,Michigan,Web,Within SLA,41,Baltimore/MD
DJU-19977844-M-356042-cQ,Tammie Bettinson,Very Negative,,10/11/2020,Payments,Lansing,Michigan,Call-Center,Within SLA,9,Chicago/IL
ADD-82219259-r-882390-EG,Errol Follos,Neutral,,10/12/2020,Billing Question,Fort Wayne,Indiana,Chatbot,Below SLA,35,Baltimore/MD
YOB-40492230-M-009287-T8,Nanni Doy,Negative,5,10/8/2020,Billing Question,Hayward,California,Email,Within SLA,27,Baltimore/MD
GZD-50459522-O-178569-D2,Sophie Kleinerman,Very Negative,2,10/3/2020,Billing Question,Santa Barbara,California,Chatbot,Within SLA,20,Chicago/IL
FQX-24118867-H-358169-3N,Timotheus Menlove,Negative,,10/28/2020,Billing Question,Memphis,Tennessee,Call-Center,Within SLA,43,Baltimore/MD
SVH-32880745-c-681066-4a,Allayne Lednor,Negative,,10/6/2020,Service Outage,Murfreesboro,Tennessee,Chatbot,Below SLA,41,Baltimore/MD
ISK-94965442-x-233388-Vz,Bethina Fazzioli,Positive,,10/22/2020,Billing Question,Lubbock,Texas,Chatbot,Below SLA,45,Denver/CO
WUJ-90727821-m-177169-j0,Stanwood Esley,Very Negative,,10/1/2020,Billing Question,New York City,New York,Call-Center,Within SLA,19,Baltimore/MD
